cloud_provider,category,service,description,id
ibmcloud,Service,paas_svc_plan_sendgrid,SendGrid provides tools for sending and managing email communications.,4e6e3c22
ibmcloud,Service,paas_svc_plan_service_discovery,Service Discovery offers tools for discovering and managing microservices.,183e2b4e
ibmcloud,Service,paas_svc_plan_service_proxy,Service Proxy provides tools for managing and securing API traffic.,e1f2a9fb
ibmcloud,Service,paas_svc_plan_session_cache,In-memory data caching service,cc171bde
ibmcloud,Service,paas_svc_plan_simplicite_apaas,Application platform as a service,86eb9413
ibmcloud,Service,paas_svc_plan_single_sign_on,Single sign-on authentication service,29016e47
ibmcloud,Service,paas_svc_plan_speech_to_text,Convert speech to text,654b0568
ibmcloud,Service,paas_svc_plan_sql_db,Managed SQL database service,434c330c
ibmcloud,Service,paas_svc_plan_statica,Static content hosting service,fa3b13ef
ibmcloud,Service,paas_svc_plan_streaming_analytics,Real-time data analytics,1d4893cb
ibmcloud,Service,paas_svc_plan_testdroid,Mobile app testing service,a7bd7f04
ibmcloud,Service,paas_svc_plan_text_to_speech,Convert text to speech,2e9c9380
ibmcloud,Service,paas_svc_plan_time_series_database,Time series data storage,cc299a14
ibmcloud,Service,paas_svc_plan_tinyqueries,Simple query service,b887cb90
ibmcloud,Service,paas_svc_plan_tone_analyzer,Analyze tone in text,494dbeda
ibmcloud,Service,paas_svc_plan_track_plan,Project tracking service,5b02da29
ibmcloud,Service,paas_svc_plan_tradeoff_analytics,Decision-making analytics,045c5a5e
ibmcloud,Service,paas_svc_plan_travel_boundary_service,Travel boundary service,bb36f47d
ibmcloud,Service,paas_svc_plan_twilio,Communication APIs,b625ccf2
ibmcloud,Service,paas_svc_plan_ustream,Live video streaming,9e75b58b
ibmcloud,Service,paas_svc_plan_validate_address,Address validation service,3da6cfcb
ibmcloud,Service,paas_svc_plan_vantrix_transcoder,Media transcoding service,9980b310
ibmcloud,Service,paas_svc_plan_virtual_server,Virtual server hosting,d356bc12
ibmcloud,Service,paas_svc_plan_visual_insights,Visual data analysis,d1dbcd41
ibmcloud,Service,paas_svc_plan_visual_recognition,Image recognition service,d6b13865
ibmcloud,Service,paas_svc_plan_vpn,Virtual private network service,e24fc2b9
ibmcloud,Service,paas_svc_plan_watson_studio,Data science and AI tools,0a7d7f0f
ibmcloud,Service,paas_svc_plan_websphere_app_server,Application server hosting,47abb769
ibmcloud,Service,paas_svc_plan_workflow,Workflow automation service,2974f95f
ibmcloud,Service,paas_svc_plan_workload_scheduler,Job scheduling service,11b02306
ibmcloud,Service,paas_svc_plan_xpages_nosql_db,NoSQL database service,4af0f468
ibmcloud,Service,paas_svc_plan_zos,Mainframe service,dbb0e74a
ibmcloud,Service,pass_svc_plan_feat_kubernetes_cluster,Managed Kubernetes clusters,212f9ddc
ibmcloud,Service,pass_svc_plan_kubernetes_cluster,Managed Kubernetes clusters,5291e4c7
ibmcloud,Service,paas_svc_plan_feat_usage_key_protect,Key management service,77d1f200
ibmcloud,Service,portworx,Container storage service,a87e8982
ibmcloud,Service,Power Systems Virtual Server,Virtual servers on Power Systems,86a6715c
ibmcloud,Service,SDK for Node.js™,Node.js development tools,d3b0a867
ibmcloud,Service,service,General service,4adf3451
ibmcloud,Service,service_instance,Service instance management,dfac48c6
ibmcloud,Service,speech-to-text,Convert speech to text,a224053a
ibmcloud,Service,toolchain,DevOps toolchain,f33bc709
ibmcloud,Service,transit,Transit service,a27dfd23
ibmcloud,Service,Unattached Services,Unattached services,b7c1cf37
ibmcloud,Service,Watson Assistant,AI-powered chatbot,835b7aad
ibmcloud,Service,Watson OpenScale,AI model management,695dc7be
ibmcloud,Service,watson-vision-combined,Combined visual recognition services,914e8f32
ibmcloud,Service,Watson Discovery,AI-powered search and content analytics,840ce114
ibmcloud,Software,anti_virus,Antivirus software,bdaa2850
ibmcloud,Software,billing_package,Billing management software,1127dcf6
ibmcloud,Storage,Block Storage for VPC,Block storage for virtual private cloud,d27ca0f8
ibmcloud,Storage,cdp_backup,Cloud data protection backup,a0761c64
ibmcloud,Storage,cloud-object-storage,Object storage service,b5d06981
ibmcloud,Storage,Cloud Object Storage,Object storage service,a9a25014
ibmcloud,Storage,dedicated_host_disk,Disk storage for dedicated hosts,a14f6c23
ibmcloud,Storage,disk0,General disk storage,be5b9f65
ibmcloud,Storage,disk1,General disk storage,1f3a8aad
ibmcloud,Storage,disk10,General disk storage,5ab4ea65
ibmcloud,Storage,disk11,General disk storage,785aa663
ibmcloud,Storage,disk12,General disk storage,51685417
ibmcloud,Storage,disk13,General disk storage,12817b2b
ibmcloud,Storage,disk14,General disk storage,c3e295a3
ibmcloud,Storage,disk15,General disk storage,2b24f641
ibmcloud,Storage,disk16,General disk storage,a515506d
ibmcloud,Storage,disk17,General disk storage,29dd1c31
ibmcloud,Storage,disk18,General disk storage,b2097edc
ibmcloud,Storage,disk19,General disk storage,19e167c7
ibmcloud,Storage,disk2,General disk storage,324a76fd
ibmcloud,Storage,disk20,General disk storage,f7c27850
ibmcloud,Storage,disk21,General disk storage,89e469c9
ibmcloud,Storage,disk22,General disk storage,484b96db
ibmcloud,Storage,disk23,General disk storage,d6baf909
ibmcloud,Storage,disk24,General disk storage,181661ab
ibmcloud,Storage,disk25,General disk storage,c4283996
ibmcloud,Storage,disk26,General disk storage,9675bf9e
ibmcloud,Storage,disk27,General disk storage,ed09ef25
ibmcloud,Storage,disk28,General disk storage,e4bb31fd
ibmcloud,Storage,disk29,General disk storage,f65a4c2e
ibmcloud,Storage,disk3,General disk storage,a70212d0
ibmcloud,Storage,disk30,General disk storage,bbe2d006
ibmcloud,Storage,disk31,General disk storage,585b4afe
ibmcloud,Storage,disk32,General disk storage,90d79453
ibmcloud,Storage,disk33,General disk storage,91b1c625
ibmcloud,Storage,disk34,General disk storage,b42e5895
ibmcloud,Storage,disk35,General disk storage,e78120df
ibmcloud,Storage,disk36,General disk storage,089e4901
ibmcloud,Storage,disk37,General disk storage,88f57a4f
ibmcloud,Storage,disk38,General disk storage,7df6d45f
ibmcloud,Storage,disk39,General disk storage,d1e2e1f0
ibmcloud,Storage,disk4,General disk storage,5a228192
ibmcloud,Storage,disk40,General disk storage,9f91357a
ibmcloud,Storage,disk41,General disk storage,5ed64caf
ibmcloud,Storage,disk42,General disk storage,46b649af
ibmcloud,Storage,disk43,General disk storage,a2c2dc9c
ibmcloud,Storage,disk44,General disk storage,2598d192
ibmcloud,Storage,disk45,General disk storage,4808bcb8
ibmcloud,Storage,disk46,General disk storage,aff3665b
ibmcloud,Storage,disk47,General disk storage,612b4614
ibmcloud,Storage,disk48,General disk storage,e131b101
ibmcloud,Storage,disk49,General disk storage,c83847ba
ibmcloud,Storage,disk5,General disk storage,f1d3bab5
ibmcloud,Storage,disk50,General disk storage,cbe385fe
ibmcloud,Storage,disk51,General disk storage,d980034d
ibmcloud,Storage,disk52,General disk storage,f689685e
ibmcloud,Storage,disk53,General disk storage,1ab06b8f
ibmcloud,Storage,disk54,General disk storage,ae238bbb
ibmcloud,Storage,disk55,General disk storage,377eb785
ibmcloud,Storage,disk56,General disk storage,5fcf40f0
ibmcloud,Storage,disk57,General disk storage,78b00a6c
ibmcloud,Storage,disk58,General disk storage,193ec6a3
ibmcloud,Storage,disk59,General disk storage,e798a0a0
ibmcloud,Storage,disk6,General disk storage,86bb7be0
ibmcloud,Storage,disk60,General disk storage,0953f2b9
ibmcloud,Storage,disk61,General disk storage,31356f1e
ibmcloud,Storage,disk62,General disk storage,0c5988ec
ibmcloud,Storage,disk63,General disk storage,06d38a84
ibmcloud,Storage,disk64,General disk storage,198fc5cd
ibmcloud,Storage,disk65,General disk storage,6192a42d
ibmcloud,Storage,disk66,General disk storage,5be3eaf4
ibmcloud,Storage,disk67,General disk storage,cd4079b6
ibmcloud,Storage,disk68,General disk storage,ee06901e
ibmcloud,Storage,disk69,General disk storage,95bbda1c
ibmcloud,Storage,disk7,General disk storage,77e20457
ibmcloud,Storage,disk70,General disk storage,da2922f5
ibmcloud,Storage,disk71,General disk storage,8f3d8fb0
ibmcloud,Storage,disk72,General disk storage,2d9d9e81
ibmcloud,Storage,disk73,General disk storage,b6c6774b
ibmcloud,Storage,disk74,General disk storage,b525237a
ibmcloud,Storage,disk75,General disk storage,7140b91d
ibmcloud,Storage,disk76,General disk storage,5ab243ca
ibmcloud,Storage,disk77,General disk storage,a7716fef
ibmcloud,Storage,disk78,General disk storage,a7ba07fd
ibmcloud,Storage,disk79,General disk storage,0867ff4b
ibmcloud,Storage,disk8,General disk storage,475ef1b3
ibmcloud,Storage,disk80,General disk storage,5c59c999
ibmcloud,Storage,disk81,General disk storage,1caa850f
ibmcloud,Storage,disk82,General disk storage,5b0c966a
ibmcloud,Storage,disk83,General disk storage,5bf6d84c
ibmcloud,Storage,disk84,General disk storage,f1fbee66
ibmcloud,Storage,disk85,General disk storage,fdf83862
ibmcloud,Storage,disk86,General disk storage,11754a20
ibmcloud,Storage,disk87,General disk storage,4a1aa939
ibmcloud,Storage,disk88,General disk storage,461f936b
ibmcloud,Storage,disk89,General disk storage,95b92758
ibmcloud,Storage,disk9,General disk storage,046cb7b3
ibmcloud,Storage,disk90,General disk storage,78489719
ibmcloud,Storage,disk91,General disk storage,6b659246
ibmcloud,Storage,disk92,General disk storage,485f726c
ibmcloud,Storage,disk93,General disk storage,18ff5261
ibmcloud,Storage,disk94,General disk storage,51eaebea
ibmcloud,Storage,disk95,General disk storage,a175415f
ibmcloud,Storage,disk96,General disk storage,ad688ab4
ibmcloud,Storage,disk97,General disk storage,9b232c98
ibmcloud,Storage,disk98,General disk storage,11dc0278
ibmcloud,Storage,disk99,General disk storage,571a5d7b
ibmcloud,Storage,disk_controller,Manages disk operations,195a0e87
ibmcloud,Storage,disk_controller1,Manages disk operations,e73764bd
ibmcloud,Storage,disk_controller2,Manages disk operations,5c976da1
ibmcloud,Storage,evault,Cloud-based backup solution,c56a5728
ibmcloud,Storage,evault_plugin,Plugin for eVault backup,4865be20
ibmcloud,Storage,hub,Centralized storage hub,fc507a58
ibmcloud,Storage,hub_bandwidth,Manages hub bandwidth,e1f8f367
ibmcloud,Storage,hub_bandwidth_usage,Tracks hub bandwidth usage,6e40b459
ibmcloud,Storage,hub_storage_usage,Tracks hub storage usage,62855d85
ibmcloud,Storage,nas,Network-attached storage,0bdc4f90
ibmcloud,Storage,object_storage,Scalable object storage,991a00e1
ibmcloud,Storage,object_storage_archive_restore,Restores archived object storage,d2860e97
ibmcloud,Storage,object_storage_bandwidth,Manages object storage bandwidth,b03ea84f
ibmcloud,Storage,object_storage_class_a_api,Class A API for object storage,9cd3aec4
ibmcloud,Storage,object_storage_class_b_api,Class B API for object storage,efb5188d
ibmcloud,Storage,object_storage_flex_charge,Flexible charging for object storage,e915ced8
ibmcloud,Storage,object_storage_flex_max_cap,Max capacity for flexible object storage,82923c6e
ibmcloud,Storage,object_storage_min_duration,Minimum duration for object storage,a4790cd8
ibmcloud,Storage,object_storage_min_size,Minimum size for object storage,66c01a2c
ibmcloud,Storage,object_storage_retrieval,Retrieves object storage data,bc5506e5
ibmcloud,Storage,object_storage_service,Object storage service management,204aa9e6
ibmcloud,Storage,object_storage_usage_bandwidth,Tracks object storage bandwidth usage,4966773e
ibmcloud,Storage,object_storage_usage_class_a_api,Tracks usage of Class A API for object storage,4ee3cbea
ibmcloud,Storage,object_storage_usage_class_b_api,Tracks usage of Class B API for object storage,e5847a62
ibmcloud,Storage,object_storage_usage_flex_charge,Tracks flexible charging for object storage,31c3876e
ibmcloud,Storage,object_storage_usage_retrieval,Tracks retrieval of object storage data,18436717
ibmcloud,Storage,object_storage_usage_service,Tracks object storage service usage,e1ace69e
ibmcloud,Storage,openstack_cinder_storage_service,OpenStack Cinder storage service,44fd50b1
ibmcloud,Storage,openstack_cinder_storage_snapshot,OpenStack Cinder storage snapshot,aab4d51a
ibmcloud,Storage,openstack_object_storage,OpenStack object storage,939f8de0
ibmcloud,Storage,performance_storage_iops,Performance storage IOPS management,40ce6b52
ibmcloud,Storage,performance_storage_iscsi,Performance storage iSCSI management,8280b0cd
ibmcloud,Storage,performance_storage_nfs,Performance storage NFS management,b5857674
ibmcloud,Storage,performance_storage_replication,Performance storage replication,3deab1ee
ibmcloud,Storage,performance_storage_space,Performance storage space management,f2e8fcc8
ibmcloud,Storage,public_storage,Public storage service,a9ba1d8d
ibmcloud,Storage,storage_as_a_service,Storage as a service,ed9d64cf
ibmcloud,Storage,storage_backend_upgrade,Upgrades for storage backend,682d12f6
ibmcloud,Storage,storage_block,Block storage service,1dbc6484
ibmcloud,Storage,storage_file,File storage service,00a33bbe
ibmcloud,Storage,StorageLayer,Storage layer management,31a3e550
ibmcloud,Storage,storagelayer_additional_storage,Additional storage for storage layer,cbe186a4
ibmcloud,Storage,storage_service_enterprise,Enterprise storage service,d8fd94a3
ibmcloud,Storage,storage_snapshot_space,Snapshot space for storage,5a28df9a
ibmcloud,Storage,storage_tier_level,Storage tier level management,debd2ff0
ibmcloud,Storage,volume,Volume storage service,50b55f11
ibmcloud,Storage,Block Storage Snapshots for VPC,Block storage snapshots for VPC,806838af
ibmcloud,Support,support_services,Provides support services,9582b9b0
ibmcloud,VMware,vmware-solutions,VMware solutions for cloud,1ee2fb73
ibmcloud,VMware,VMware Solutions,VMware solutions for cloud,5bc38c03
ibmcloud,Network,Direct Link Dedicated (2.0),Dedicated direct link service,27b56855
ibmcloud,Storage,Portworx Enterprise,Enterprise storage solution,15703b9c
ibmcloud,Compute,placement-group,Manages placement groups,7c333800
ibmcloud,Service,px-backup,Backup service,f8e4608c
democloud,Compute,Compute,Compute services,3149557d
democloud,Database,Database,Database services,78adf10b
democloud,Container,Containers,Container services,84179b81
alicloud,Other,Unassociated Cost,Unassociated cost tracking,e63df260
alicloud,Compute,Elastic Compute Service,Elastic compute service,c7a5bf65
alicloud,Compute,vms,Virtual machines,3858efea
alicloud,Compute,Elastic Container Instance,Elastic container instances,91ed8742
alicloud,Compute,Container Service for Kubernetes,Kubernetes container service,47a15737
alicloud,Compute,Function Compute,Function compute service,472c31a4
alicloud,Compute,Marketplace,Cloud marketplace,a9fdb68c
alicloud,Storage,Elastic Block Storage,Elastic block storage,cde2cfcd
alicloud,Storage,Object Storage Service,Object storage service,a0693801
alicloud,Storage,Apsara File Storage NAS,File storage NAS,3215964d
alicloud,Network,Server Load Balancer,Server load balancer,01d6c02a
alicloud,Network,NAT Gateway,NAT gateway service,08e66a62
alicloud,Network,Elastic IP Address,Elastic IP address service,137139aa
alicloud,Network,VPN Gateway,VPN gateway service,3a087dac
alicloud,Network,Alibaba Cloud DNS PrivateZone,Private DNS service,7069c97a
alicloud,Database,ApsaraDB for MongoDB,Managed MongoDB service,e51cc6e3
alicloud,Database,Relational Database Service (RDS),Relational database service,71d2aea5
alicloud,Database,ApsaraDB for Redis,Managed Redis service,1a9cc2cd
alicloud,Database,ApsaraDB for POLARDB,Managed POLARDB service,5176b104
alicloud,Database,ApsaraDB RDS,Relational database service,f88ef2a7
alicloud,Security,KeyManagementService,Key management service,bf59addf
alicloud,Service,Log Service,Log management service,4f258f60
alicloud,Service,Message Queue,Message queue service,bd9cd789
oci,Compute,Virtual Machines,Virtual machines,af64a659
oci,Compute,Compute,Compute services,8fea1b3c
oci,Compute,Bare Metal servers,Bare metal servers,41a6a2d1
oci,Compute,Vmware,VMware services,e29fbe2f
oci,Compute,GPU-Accelerated compute,GPU-accelerated compute,8ad02d67
oci,Compute,Secure Desktops,Secure desktop services,b1281d0f
oci,Compute,Dedicated VM host,Dedicated VM host,14cea642
oci,Compute,OS Management,OS management service,effe75d9
oci,Database,database,Database services,9467f5aa
oci,Database,Database,Database services,e91af3ab
oci,Database,Exadata database service,Exadata database service,82b97830
oci,Database,cache with redis,Redis cache service,a7ebea3a
oci,Database,Database with postgreSQL,PostgreSQL database service,ce674897
oci,Database,Odsp,ODSP database service,33494dc7
oci,Database,Mysql,MySQL database service,4982f9b2
oci,Storage,Blockstorage,Block storage service,6a762816
oci,Storage,Block_storage,Block storage service,74565c68
oci,Storage,Objectstore,Object storage service,39322e00
oci,Storage,Block volumes,Block volumes service,fd8221b8
oci,Storage,File storage,File storage service,7a14c958
oci,Storage,Filestorageservice,File storage service,f3c645f2
oci,Storage,Object storage,Object storage service,0759fc8b
oci,Service,Oracle_notification_service,Oracle notification service,cad9e33e
oci,Service,Telemetry,Telemetry service,d8ca2ada
oci,Security,Kms_shard4,Key management service,dd348b4d
oci,Security,Network Firewall,Network firewall service,e9ae21ec
oci,Security,Secret Management,Secret management service,bded69dc
oci,Security,Security zones,Security zones service,858585f1
oci,Security,Web Application firewall (WAF),Web application firewall,7e7ee15d
oci,Analytics,Logging,Logging service,100d9244
oci,Network,Network,Network services,764bbda4
oci,Network,Load balancers,Load balancer service,b8c4e52d
oci,Network,Virtual cloud networks,Virtual cloud networks,915f0790
oci,Network,Dns management,DNS management service,fe08c585
oci,Network,Fast connect,Fast connect service,3c3f1427
